EmployeeID,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime
EMP-100452,14786.0,14,0,3,2,4,3,2,4,N
EMP-100453,8173.0,21,2,3,1,3,1,4,4,FALSE
EMP-100454,12512.0,15,3,3,3,3,3,1,4,FALSE
EMP-100455,7526.0,18,2,3,4,4,1,1,2,FALSE
EMP-100457,16127.0,21,3,3,2,1,4,3,2,FALSE
EMP-100458,17962.0,15,2,3,4,1,3,1,1,N
EMP-100459,9807.0,24,3,3,3,3,3,2,3,Yes
EMP-100460,19861.0,12,2,4,3,4,1,2,2,TRUE
EMP-100461,13977.0,25,1,3,1,4,3,2,1,No
EMP-100462,17957.0,21,2,3,3,1,2,4,4,FALSE
EMP-100463,22922.0,21,1,3,1,3,2,2,2,no
EMP-100464,18564.0,18,1,3,3,4,4,3,2,TRUE
EMP-100465,10907.0,11,2,3,4,4,4,4,2,FALSE
EMP-100466,7903.0,25,0,4,2,1,3,1,1,yes
EMP-100467,6023.0,17,0,3,4,1,4,4,2,FALSE
EMP-100468,5162.0,13,2,3,2,4,3,2,2,No
EMP-100469,11472.0,14,2,3,1,3,4,4,3,Y
EMP-100470,16299.0,24,3,3,3,2,2,4,1,no
EMP-100471,19595.0,25,3,3,4,4,1,4,3,Y
EMP-100472,9959.0,18,2,3,3,4,1,4,3,No
EMP-100473,18377.0,13,0,3,1,3,2,3,3,No
EMP-100474,11842.0,22,3,4,2,4,1,4,3,no
EMP-100475,12248.0,23,3,3,4,2,3,2,4,no
EMP-100476,6390.0,23,0,3,2,3,3,1,2,No
EMP-100477,16165.0,17,2,3,2,2,2,3,3,Yes
EMP-100478,8486.0,22,0,3,1,2,2,4,1,Yes
EMP-100479,10422.0,11,1,3,2,4,2,1,2,No
EMP-100480,8842.0,19,3,3,1,2,2,3,3,No
EMP-100481,11446.0,23,3,3,2,4,1,2,3,Y
EMP-100482,12809.0,16,3,3,2,4,1,2,1,yes
EMP-100483,7716.0,13,0,3,4,3,1,1,4,yes
EMP-100484,7354.0,17,0,4,1,3,3,4,1,no
EMP-100485,20612.0,25,2,3,3,3,4,1,4,TRUE
EMP-100486,,23,3,3,3,4,3,3,4,Yes
EMP-100487,19849.0,15,1,3,3,2,4,1,4,yes
EMP-100488,9030.0,18,2,3,4,2,2,1,3,N
EMP-100489,13660.0,18,0,3,4,3,2,4,3,yes
EMP-100490,14714.0,22,1,3,2,3,1,2,4,N
EMP-100491,10444.0,19,2,3,2,4,1,4,4,FALSE
EMP-100492,12709.0,16,0,3,3,1,4,2,3,No
EMP-100493,8763.0,14,1,3,2,1,4,4,4,TRUE
EMP-100494,16040.0,23,2,3,2,4,1,2,3,N
EMP-100495,5025.0,12,1,3,4,1,2,4,4,FALSE
EMP-100496,14581.0,13,0,3,3,1,1,2,3,yes
EMP-100497,13874.0,15,2,3,1,1,2,2,1,FALSE
EMP-100498,13079.0,18,0,3,3,3,2,2,4,no
EMP-100499,17314.0,22,3,3,4,2,3,2,4,TRUE
EMP-100500,7317.0,20,3,3,3,2,3,4,1,No
EMP-100501,6581.0,12,1,3,1,3,4,3,2,FALSE
EMP-100502,21026.0,15,3,3,2,3,2,2,4,N
EMP-100503,9661.0,24,0,4,3,3,1,2,2,No
EMP-100504,19634.0,19,1,3,4,1,2,2,1,TRUE
EMP-100505,7715.0,12,2,4,4,4,4,2,4,Yes
EMP-100506,17537.0,25,0,3,3,4,2,2,2,FALSE
EMP-100507,10147.0,18,2,3,2,1,2,1,4,No
EMP-100508,21047.0,13,2,3,2,1,4,1,4,no
EMP-100509,18979.0,18,2,3,4,3,2,2,3,no
EMP-100510,15394.0,14,2,3,4,3,3,2,2,No
EMP-100511,15823.0,14,0,3,1,2,4,2,3,N
EMP-100512,17960.0,22,3,3,2,3,3,3,3,N
EMP-100513,22498.0,17,0,3,3,1,4,4,2,Yes
EMP-100514,17605.0,15,3,3,4,2,2,2,2,N
EMP-100515,13564.0,14,2,3,4,3,3,3,3,No
EMP-100516,15086.0,17,3,3,4,2,3,3,4,No
EMP-100517,13768.0,22,2,3,4,2,1,2,4,N
EMP-100518,7931.0,13,1,4,2,3,3,4,1,yes
EMP-100519,14957.0,25,2,3,4,4,3,1,4,No
EMP-100520,11734.0,19,3,3,2,1,2,2,2,No
EMP-100521,13520.0,24,1,3,1,1,3,2,2,no
EMP-100522,18459.0,23,1,3,1,2,3,1,1,Y
EMP-100523,15691.0,15,2,3,3,4,3,4,2,yes
EMP-100524,9572.0,22,0,3,4,4,2,1,3,no
EMP-100525,19649.0,13,3,3,3,3,4,2,1,No
EMP-100526,16344.0,12,1,3,2,3,2,2,1,N
EMP-100527,8044.0,17,0,3,3,1,3,3,4,no
EMP-100528,13309.0,22,2,3,3,3,4,1,4,No
EMP-100529,18570.0,17,2,3,4,3,2,3,3,yes
EMP-100530,20500.0,22,2,3,2,2,2,3,3,yes
EMP-100531,17768.0,23,2,4,2,4,4,3,4,no
EMP-100532,6932.0,15,3,3,4,4,1,3,4,TRUE
EMP-100533,11333.0,14,1,4,2,3,3,1,3,N
EMP-100534,18245.0,23,3,3,1,3,1,1,4,Yes
EMP-100535,22504.0,21,1,3,4,3,3,1,1,N
EMP-100536,17094.0,12,0,3,4,1,3,2,3,no
EMP-100537,22284.0,12,0,3,4,1,1,4,4,no
EMP-100538,18935.0,17,1,3,1,2,1,3,2,N
EMP-100539,6980.0,20,2,3,2,1,3,2,2,No
EMP-100540,20960.0,17,0,3,1,4,4,1,3,N
EMP-100541,9851.0,14,3,3,1,1,4,1,2,No
EMP-100542,8917.0,24,1,3,1,4,1,2,2,yes
EMP-100543,10865.0,14,0,4,3,1,1,3,1,FALSE
EMP-100544,16840.0,14,1,3,2,1,2,1,3,No
EMP-100545,20466.0,21,2,4,2,2,4,3,2,no
EMP-100546,17359.0,12,1,3,4,3,4,3,4,FALSE
EMP-100547,21163.0,23,0,3,4,3,3,4,3,yes
EMP-100548,19615.0,23,1,3,3,3,2,1,3,No
EMP-100549,10184.0,19,0,3,1,2,3,2,2,TRUE
EMP-100550,7467.0,11,0,3,4,4,2,4,2,FALSE
EMP-100551,7094.0,25,0,3,2,1,4,3,1,Yes
EMP-100552,12607.0,18,3,3,4,2,3,2,4,N
EMP-100553,9165.0,16,2,3,1,4,2,4,1,No
EMP-100554,21583.0,25,2,3,3,2,3,4,1,FALSE
EMP-100555,6216.0,23,1,3,1,2,2,4,4,FALSE
EMP-100556,15724.0,20,1,3,4,4,1,3,2,FALSE
EMP-100557,18467.0,17,0,3,3,3,3,3,1,N
EMP-100558,,22,2,4,3,1,1,1,3,Y
EMP-100559,19859.0,15,1,3,1,3,2,4,1,FALSE
EMP-100560,18633.0,16,1,3,4,2,3,2,4,No
EMP-100561,15506.0,16,2,3,1,4,2,3,1,N
EMP-100562,14734.0,23,0,3,4,2,2,4,1,FALSE
EMP-100563,13910.0,19,1,3,4,3,1,2,3,No
EMP-100564,17038.0,20,0,3,2,3,3,3,4,no
EMP-100565,17207.0,23,2,3,3,3,4,2,3,N
EMP-100566,18671.0,14,2,3,4,1,2,2,2,FALSE
EMP-100567,13261.0,22,1,4,1,3,1,1,4,No
EMP-100568,16352.0,21,1,3,1,1,4,3,1,no
EMP-100569,10763.0,22,2,3,2,1,1,3,3,No
EMP-100570,6581.0,23,0,3,2,3,1,3,3,TRUE
EMP-100571,5136.0,15,0,3,2,4,1,3,4,yes
EMP-100572,15175.0,14,3,4,3,2,2,1,3,Y
EMP-100573,16893.0,11,2,3,2,2,4,1,4,yes
EMP-100574,8875.0,20,1,3,3,1,2,4,2,Yes
EMP-100575,20723.0,16,2,4,2,1,2,3,4,FALSE
EMP-100576,17472.0,15,1,3,3,1,3,2,4,N
EMP-100577,10388.0,14,0,3,4,2,4,1,2,No
EMP-100578,17176.0,16,1,3,2,1,3,2,2,No
EMP-100579,15402.0,22,3,3,3,4,1,2,1,FALSE
EMP-100580,6189.0,15,0,3,4,4,4,2,3,Y
EMP-100582,15308.0,12,2,3,4,2,2,4,2,No
EMP-100583,11234.0,23,1,4,2,3,1,3,3,N
EMP-100584,22946.0,16,0,3,1,2,2,1,3,FALSE
EMP-100585,11207.0,14,1,3,3,3,3,3,1,No
EMP-100586,20256.0,21,3,3,1,3,1,4,1,Y
EMP-100587,7981.0,25,0,3,3,1,2,4,4,no
EMP-100588,8720.0,23,3,3,1,4,2,2,1,FALSE
EMP-100589,11945.0,20,0,3,2,1,2,3,2,N
EMP-100590,17153.0,13,2,3,1,3,1,2,2,Y
EMP-100591,8200.0,24,2,3,2,1,3,4,3,No
EMP-100592,20363.0,18,1,4,3,3,4,3,1,No
EMP-100593,17344.0,22,3,3,2,1,2,3,4,FALSE
EMP-100594,9843.0,19,3,3,1,4,1,1,4,No
EMP-100595,10652.0,25,0,3,4,4,4,4,4,FALSE
EMP-100596,18000.0,17,2,3,3,2,2,4,4,No
EMP-100597,7870.0,12,1,4,4,3,1,1,3,TRUE
EMP-100598,10258.0,18,2,3,4,3,3,4,1,N
EMP-100599,14120.0,21,3,3,4,1,2,2,1,N
EMP-100600,11987.0,23,1,3,4,2,1,2,1,Yes
EMP-100601,7351.0,23,2,3,4,4,2,2,1,yes
EMP-100602,18031.0,21,2,3,1,1,1,3,4,FALSE
EMP-100603,23166.0,15,0,3,2,2,3,2,4,Yes
EMP-100604,7629.0,25,0,3,2,4,3,4,3,TRUE
EMP-100605,17189.0,25,3,3,4,1,1,1,3,N
EMP-100606,8043.0,25,2,3,1,4,4,2,4,No
EMP-100607,13143.0,21,0,3,4,3,3,2,2,FALSE
EMP-100608,16522.0,20,2,3,4,2,2,3,1,no
EMP-100609,14786.0,17,1,3,3,4,3,4,3,FALSE
EMP-100610,18397.0,15,2,3,1,2,2,1,4,no
EMP-100611,19786.0,12,2,3,4,1,3,4,1,N
EMP-100612,8143.0,22,3,3,2,2,3,2,1,Yes
EMP-100613,10823.0,22,1,3,3,1,2,4,4,yes
EMP-100614,11161.0,22,1,3,4,2,3,1,2,no
EMP-100615,14672.0,14,0,3,4,1,2,2,2,N
EMP-100616,17653.0,23,1,3,4,1,2,4,3,no
EMP-100617,16133.0,21,3,3,1,1,3,1,4,FALSE
EMP-100618,11439.0,15,0,3,4,4,3,2,3,yes
EMP-100619,14368.0,16,2,3,2,3,2,2,2,N
EMP-100620,21585.0,15,1,3,3,2,1,4,3,No
EMP-100621,9519.0,20,2,3,1,3,3,3,3,N
EMP-100622,19307.0,21,0,3,3,3,4,3,2,N
EMP-100623,7837.0,25,1,3,2,3,3,1,1,TRUE
EMP-100624,12806.0,11,0,3,4,3,1,4,1,no
EMP-100625,15515.0,11,0,3,1,2,1,1,2,N
EMP-100626,,25,1,3,4,2,3,4,1,N
EMP-100627,13287.0,13,1,4,1,3,3,1,4,N
EMP-100628,17632.0,19,0,3,4,2,4,1,1,N
EMP-100629,6806.0,21,3,3,2,2,3,4,2,TRUE
EMP-100630,10698.0,12,1,3,2,1,1,3,4,Yes
EMP-100631,23232.0,20,0,4,4,2,4,1,3,No
EMP-100632,6328.0,15,2,4,2,4,3,4,2,No
EMP-100633,16292.0,19,2,4,4,3,4,4,2,N
EMP-100634,10458.0,17,1,4,1,2,4,4,1,no
EMP-100635,10971.0,21,1,3,2,3,1,2,4,FALSE
EMP-100636,5961.0,18,2,3,1,2,1,4,2,yes
EMP-100637,9138.0,12,0,3,4,3,2,4,4,No
EMP-100638,,15,0,3,1,4,1,2,4,yes
EMP-100639,,19,0,3,3,2,2,2,1,yes
EMP-100640,20163.0,11,3,3,4,2,1,3,2,Y
EMP-100641,7919.0,11,1,3,2,4,1,4,4,FALSE
EMP-100642,8173.0,20,3,3,2,2,2,1,4,No
EMP-100643,21218.0,18,3,3,3,3,2,2,3,yes
EMP-100644,16110.0,12,3,3,4,4,2,2,1,FALSE
EMP-100645,13449.0,19,3,4,4,1,4,3,2,FALSE
EMP-100646,12148.0,20,0,3,4,3,2,3,4,No
EMP-100647,18849.0,19,1,3,4,2,4,3,1,FALSE
EMP-100648,17824.0,14,1,3,1,3,4,4,2,yes
EMP-100649,11616.0,12,3,4,4,4,2,4,4,TRUE
EMP-100650,20737.0,13,1,3,1,2,2,4,2,no
EMP-100651,13877.0,20,2,3,1,2,2,2,2,yes
EMP-100652,18514.0,11,0,3,2,4,1,3,1,FALSE
EMP-100653,7159.0,13,1,3,4,1,1,2,1,Y
EMP-100654,18507.0,15,0,3,1,2,2,1,3,FALSE
EMP-100655,19291.0,13,2,3,4,2,3,4,3,Y
EMP-100656,15394.0,13,0,3,3,2,2,2,3,No
EMP-100657,13469.0,20,2,3,1,1,3,1,4,Yes
EMP-100658,8388.0,16,3,3,2,3,1,2,3,FALSE
EMP-100659,10297.0,13,1,4,4,1,1,1,2,Y
EMP-100660,20086.0,13,3,3,2,3,3,2,1,No
EMP-100661,7253.0,25,1,3,1,2,1,2,2,no
EMP-100662,10148.0,19,3,3,1,3,2,4,1,FALSE
EMP-100663,15681.0,12,2,3,2,3,3,2,1,No
EMP-100664,15482.0,11,1,3,4,3,3,2,2,No
EMP-100665,23463.0,20,3,3,1,3,4,3,2,TRUE
EMP-100666,9503.0,18,0,4,3,2,1,2,4,No
EMP-100667,15474.0,23,0,3,2,4,3,4,1,FALSE
EMP-100668,18520.0,24,3,4,1,1,3,2,3,FALSE
EMP-100669,8919.0,13,2,3,4,3,3,4,4,no
EMP-100670,5643.0,17,3,4,1,2,1,3,3,yes
EMP-100671,7907.0,12,0,3,4,2,3,4,4,no
EMP-100672,19264.0,21,1,3,4,2,3,3,1,TRUE
EMP-100673,6600.0,21,1,3,1,2,2,3,2,N
EMP-100674,23699.0,22,3,3,3,3,2,3,2,FALSE
EMP-100675,12877.0,18,1,3,4,1,4,3,1,no
EMP-100676,10501.0,19,0,3,2,2,3,3,2,No
EMP-100677,16385.0,18,1,3,4,1,1,4,1,Yes
EMP-100678,23258.0,18,3,3,4,1,4,3,1,No
EMP-100680,22742.0,24,3,4,4,4,4,3,4,N
EMP-100681,18620.0,17,0,3,1,2,3,3,2,Yes
EMP-100682,5875.0,12,2,3,3,2,4,3,4,FALSE
EMP-100683,6891.0,18,1,3,4,2,1,1,3,No
EMP-100684,11465.0,15,3,4,1,1,2,2,1,yes
EMP-100685,21201.0,16,2,3,1,2,2,2,2,No
EMP-100686,9511.0,14,3,3,4,2,3,3,3,Yes
EMP-100687,10876.0,11,3,3,2,1,1,3,1,no
EMP-100689,6089.0,15,0,3,4,3,1,3,4,No
EMP-100690,15593.0,13,2,3,4,4,3,1,4,no
EMP-100691,18353.0,19,3,3,1,3,1,2,2,Yes
EMP-100692,8215.0,14,1,3,4,3,2,4,3,No
EMP-100693,18971.0,20,1,3,4,3,1,2,3,Yes
EMP-100694,8186.0,12,1,3,1,1,1,4,4,FALSE
EMP-100695,21743.0,14,2,4,4,2,3,4,4,yes
EMP-100696,8851.0,13,0,3,4,3,4,4,2,N
EMP-100697,14243.0,13,2,3,4,3,4,3,1,No
EMP-100698,17479.0,15,0,4,1,2,3,1,2,no
EMP-100699,7939.0,11,1,3,4,1,3,4,4,No
EMP-100700,8892.0,15,1,3,2,3,3,1,2,no
EMP-100701,15319.0,18,0,3,4,2,3,2,1,Yes
EMP-100702,19797.0,25,1,3,2,2,1,4,4,No
EMP-100703,8822.0,25,2,4,4,4,1,2,1,Yes
EMP-100704,6710.0,20,0,3,1,3,4,1,2,FALSE
EMP-100705,8358.0,22,1,3,2,3,3,1,1,N
EMP-100706,9731.0,19,3,3,4,4,3,2,4,FALSE
EMP-100708,6905.0,11,3,4,4,2,3,2,1,No
EMP-100709,10889.0,24,1,3,4,3,2,1,2,no
EMP-100710,,12,3,3,1,3,1,3,2,No
EMP-100711,12018.0,12,1,3,3,4,2,2,2,no
EMP-100712,18918.0,16,3,3,2,3,1,4,2,yes
EMP-100713,6824.0,11,0,3,4,3,1,4,3,no
EMP-100714,16332.0,21,0,3,1,1,1,4,3,No
EMP-100715,12517.0,11,3,3,3,4,4,1,1,N
EMP-100716,7645.0,12,1,3,1,2,4,2,3,FALSE
EMP-100717,14680.0,25,2,3,4,3,1,1,3,No
EMP-100718,5565.0,22,2,3,3,2,1,4,3,FALSE
EMP-100719,14912.0,23,2,3,2,3,1,3,1,TRUE
EMP-100720,17991.0,14,2,3,2,1,1,4,3,yes
EMP-100721,10425.0,12,3,3,1,4,3,4,2,yes
EMP-100722,16234.0,14,0,4,2,4,3,4,2,FALSE
EMP-100723,14159.0,13,0,3,2,2,3,3,1,FALSE
EMP-100724,12082.0,13,2,3,3,1,4,3,1,no
EMP-100725,7980.0,25,0,3,2,2,2,2,1,N
EMP-100726,7266.0,19,3,3,3,1,1,3,4,Yes
EMP-100727,9335.0,18,2,3,3,3,3,2,3,No
EMP-100728,7448.0,22,3,3,3,3,3,3,1,N
EMP-100729,15563.0,22,3,3,2,1,3,2,1,FALSE
EMP-100730,16865.0,20,1,3,1,3,1,4,1,Yes
EMP-100731,16119.0,19,3,4,1,4,1,3,2,N
EMP-100732,20778.0,11,1,3,2,1,2,1,1,yes
EMP-100733,15979.0,22,2,3,3,1,4,1,2,N
EMP-100734,6803.0,15,3,3,2,2,2,2,2,TRUE
EMP-100735,5908.0,22,0,3,4,1,1,3,4,FALSE
EMP-100736,18323.0,22,2,3,1,2,2,3,1,Y
EMP-100737,14055.0,14,3,3,3,1,3,1,4,N
EMP-100738,12267.0,21,3,3,2,4,2,3,1,No
EMP-100739,16340.0,24,0,3,3,4,3,3,3,Yes
EMP-100740,10887.0,19,1,3,4,4,2,2,1,FALSE
EMP-100741,19994.0,24,3,3,3,2,3,4,1,Yes
EMP-100742,17172.0,13,3,3,4,2,2,1,1,no
EMP-100743,11402.0,15,0,3,1,3,4,4,1,no
EMP-100744,11874.0,18,2,3,3,2,2,3,1,no
EMP-100745,14398.0,20,3,3,2,2,1,3,1,FALSE
EMP-100746,11565.0,25,1,3,3,4,1,2,4,yes
EMP-100747,6345.0,15,1,3,3,1,3,4,3,FALSE
EMP-100748,13417.0,19,0,3,4,2,1,4,4,No
EMP-100749,9674.0,12,1,3,4,3,3,2,3,no
EMP-100750,7565.0,16,3,4,2,1,4,4,4,FALSE
EMP-100751,,15,1,3,1,2,1,2,4,Y
EMP-100752,20435.0,19,3,3,1,1,1,2,1,no
EMP-100753,13911.0,17,0,3,4,1,3,3,4,FALSE
EMP-100754,18407.0,18,1,3,2,1,4,3,3,no
EMP-100755,18710.0,17,3,3,3,1,4,3,2,No
EMP-100756,24410.0,23,2,3,2,1,2,2,3,yes
EMP-100757,15743.0,20,3,3,2,2,3,3,4,no
EMP-100758,17997.0,20,3,3,2,1,3,1,2,N
EMP-100759,22360.0,15,0,3,1,1,4,1,1,TRUE
EMP-100760,7470.0,21,3,3,3,3,3,3,2,No
EMP-100761,23666.0,23,0,3,2,3,1,2,1,TRUE
EMP-100762,10567.0,24,3,3,1,1,1,1,3,FALSE
EMP-100763,22570.0,15,3,3,1,2,1,3,2,no
EMP-100764,18702.0,23,3,3,4,3,3,1,2,TRUE
EMP-100765,19358.0,21,0,3,3,3,2,1,2,Yes
EMP-100766,9451.0,14,3,3,2,1,2,1,1,No
EMP-100767,12567.0,12,0,4,3,2,4,4,1,no
EMP-100768,15839.0,24,2,3,4,4,3,1,3,no
EMP-100769,6936.0,19,0,3,4,2,4,3,3,no
EMP-100770,5823.0,20,2,3,2,3,3,1,4,yes
EMP-100771,7670.0,20,0,3,1,3,2,3,1,yes
EMP-100772,18104.0,22,0,3,4,3,1,1,3,yes
EMP-100773,6661.0,20,3,3,1,3,3,1,2,no
EMP-100774,,20,1,4,4,3,2,4,2,No
EMP-100775,16507.0,13,1,3,3,1,2,1,2,no
EMP-100776,6781.0,21,3,3,2,1,2,3,3,FALSE
EMP-100777,9848.0,21,2,3,4,1,1,4,2,N
EMP-100778,12341.0,13,3,3,3,3,2,4,2,TRUE
EMP-100779,9645.0,13,1,3,4,1,4,1,1,TRUE
EMP-100780,16791.0,18,0,3,2,3,2,1,1,yes
EMP-100781,12800.0,16,3,3,3,2,2,2,3,No
EMP-100782,8351.0,11,2,3,1,4,3,1,1,N
EMP-100783,7690.0,22,3,3,4,2,3,2,4,N
EMP-100784,19791.0,23,1,3,4,4,3,3,3,yes
EMP-100785,19030.0,25,0,4,3,1,2,1,4,N
EMP-100786,17716.0,24,1,3,2,4,2,1,4,FALSE
EMP-100787,6733.0,13,1,4,4,2,4,2,3,FALSE
EMP-100788,18266.0,14,1,3,3,2,1,2,1,FALSE
EMP-100789,17601.0,23,1,3,2,4,2,4,1,FALSE
EMP-100790,15409.0,12,0,4,4,2,1,4,3,FALSE
EMP-100791,14902.0,16,1,4,3,1,2,1,4,TRUE
EMP-100792,20052.0,20,2,4,2,2,1,3,3,No
EMP-100793,10024.0,22,2,3,4,4,3,4,3,Y
EMP-100794,18528.0,11,1,3,4,1,2,4,2,FALSE
EMP-100795,11366.0,11,2,3,2,4,4,4,2,Y
EMP-100796,18338.0,18,1,3,2,3,1,2,4,No
EMP-100797,14318.0,14,0,3,3,3,3,1,1,FALSE
EMP-100798,12719.0,25,0,3,4,1,4,2,2,No
EMP-100799,15008.0,25,2,3,4,1,3,3,2,no
EMP-100800,16662.0,11,2,3,3,2,2,2,4,yes
EMP-100801,11416.0,17,1,3,4,4,4,1,3,yes
EMP-100802,20618.0,19,3,3,4,3,1,2,2,FALSE
EMP-100803,7470.0,20,1,3,4,2,1,3,1,no
EMP-100804,22014.0,17,1,3,1,3,4,1,4,N
EMP-100805,15751.0,11,0,3,2,2,1,1,2,FALSE
EMP-100806,12660.0,11,3,3,1,2,3,1,4,No
EMP-100807,13614.0,22,3,4,1,3,4,1,2,yes
EMP-100808,10649.0,11,1,4,2,2,1,3,2,TRUE
EMP-100809,14805.0,25,0,3,1,3,3,1,4,No
EMP-100810,23224.0,18,2,3,3,1,1,3,1,N
EMP-100811,18456.0,17,0,3,1,4,3,3,1,N
EMP-100812,15817.0,24,2,3,3,2,2,2,3,Yes
EMP-100813,11170.0,13,0,3,2,3,3,2,2,FALSE
EMP-100814,20154.0,13,3,3,4,3,1,1,3,FALSE
EMP-100815,7293.0,22,0,3,2,4,3,4,4,TRUE
EMP-100817,17852.0,12,2,3,1,4,4,1,4,N
EMP-100818,8955.0,24,0,3,2,2,4,3,1,no
EMP-100819,13893.0,24,0,4,2,3,2,2,4,no
EMP-100820,10152.0,14,2,3,3,2,3,1,4,no
EMP-100821,13692.0,17,0,3,4,2,2,1,3,FALSE
EMP-100822,16334.0,19,2,3,1,1,4,3,2,Y
EMP-100823,21061.0,13,3,3,4,4,3,2,3,no
EMP-100824,8775.0,20,2,4,4,1,3,4,1,N
EMP-100825,15831.0,17,2,3,4,1,2,4,1,FALSE
EMP-100826,9796.0,22,3,4,1,2,2,1,1,N
EMP-100827,13234.0,25,0,4,2,2,3,1,2,no
EMP-100828,13106.0,14,0,3,4,3,3,1,3,FALSE
EMP-100829,7412.0,11,3,3,1,1,3,1,4,No
EMP-100830,6978.0,15,1,3,2,4,2,1,4,TRUE
EMP-100831,6708.0,18,2,4,4,1,1,4,2,No
EMP-100832,10367.0,13,0,4,3,3,4,1,1,FALSE
EMP-100833,17508.0,20,0,3,1,1,4,2,2,N
EMP-100834,14702.0,14,2,3,4,1,2,3,4,yes
EMP-100835,19539.0,25,2,3,1,1,3,4,1,N
EMP-100836,5487.0,13,2,3,3,3,4,3,2,No
EMP-100837,10165.0,25,1,3,1,1,4,3,4,no
EMP-100838,8380.0,20,3,3,2,2,4,1,4,no
EMP-100839,9833.0,24,1,3,4,1,4,3,2,N
EMP-100840,21265.0,24,1,3,1,2,3,2,4,No
EMP-100841,17854.0,18,2,3,1,1,2,1,3,FALSE
EMP-100842,5739.0,20,3,3,4,2,3,4,3,Y
EMP-100843,21559.0,18,0,3,3,1,3,2,1,no
EMP-100844,7141.0,24,2,3,3,4,4,4,3,no
EMP-100845,20156.0,14,3,3,4,2,4,1,3,no
EMP-100846,17543.0,21,0,3,4,4,3,1,2,Y
EMP-100847,17382.0,12,1,4,2,2,3,4,1,No
EMP-100848,8916.0,22,3,3,1,1,3,3,2,FALSE
EMP-100849,14055.0,13,1,3,1,3,1,4,2,N
EMP-100850,6833.0,13,1,3,3,1,4,2,3,yes
EMP-100852,8420.0,21,0,3,1,4,2,1,4,Yes
EMP-100853,11318.0,23,3,3,2,3,2,2,4,N
EMP-100854,6343.0,12,0,3,4,3,1,2,1,FALSE
EMP-100855,13701.0,12,2,3,1,3,1,1,3,N
EMP-100856,13239.0,13,2,3,4,3,2,3,4,N
EMP-100857,12068.0,22,2,3,3,4,2,1,2,No
EMP-100858,10834.0,11,1,3,3,3,2,2,3,Y
EMP-100860,20738.0,16,1,3,3,2,4,2,1,no
EMP-100861,12892.0,13,0,3,4,2,1,1,2,no
EMP-100862,14900.0,11,3,3,4,1,1,4,4,N
EMP-100863,16595.0,13,3,3,4,4,3,2,2,Y
EMP-100864,7961.0,11,1,3,3,1,1,2,4,No
EMP-100865,13647.0,13,1,3,3,1,2,3,3,Y
EMP-100866,8302.0,14,1,3,3,3,1,4,1,no
EMP-100867,11730.0,16,0,4,4,3,3,3,4,yes
EMP-100868,21099.0,17,0,3,2,4,4,2,2,no
EMP-100869,13621.0,17,2,3,3,4,2,4,3,Y
EMP-100870,22067.0,19,2,3,2,2,1,3,4,Y
EMP-100871,7252.0,18,3,3,3,4,2,1,3,N
EMP-100872,13221.0,23,2,3,1,1,4,3,3,FALSE
EMP-100873,10903.0,14,0,3,1,2,1,4,2,FALSE
EMP-100874,9046.0,16,0,4,1,2,2,3,2,no
EMP-100875,16907.0,21,0,3,2,3,3,4,3,TRUE
EMP-100876,,11,0,3,3,3,3,4,3,FALSE
EMP-100877,20542.0,18,3,3,4,2,4,3,4,FALSE
EMP-100878,11697.0,16,3,3,2,3,4,3,2,No
EMP-100879,8926.0,12,0,3,3,3,4,1,4,No
EMP-100880,11510.0,18,1,3,1,3,1,3,1,no
EMP-100881,16063.0,14,2,3,2,2,4,4,4,Y
EMP-100882,18269.0,19,3,3,3,2,1,2,3,no
EMP-100883,6984.0,14,1,3,4,2,2,3,1,TRUE
EMP-100884,15113.0,11,2,4,2,1,3,3,4,no
EMP-100885,22233.0,17,1,3,4,2,2,4,1,N
EMP-100886,12744.0,20,0,3,2,3,3,2,2,No
EMP-100887,15661.0,15,2,3,1,2,4,1,4,Yes
EMP-100888,11116.0,20,1,3,1,1,2,2,4,FALSE
EMP-100889,12136.0,21,3,4,1,3,2,4,2,yes
EMP-100890,17037.0,22,3,3,4,4,4,4,4,no
EMP-100891,13507.0,15,3,3,1,2,2,4,1,No
EMP-100892,7301.0,14,2,3,4,2,1,4,2,TRUE
EMP-100893,19487.0,16,0,3,4,4,3,2,1,Yes
EMP-100894,11110.0,11,0,3,4,3,4,2,4,TRUE
EMP-100895,8216.0,13,2,3,1,2,1,2,4,FALSE
EMP-100896,5851.0,21,2,3,3,1,1,3,4,FALSE
EMP-100897,17066.0,22,0,3,4,3,4,4,4,No
EMP-100898,8316.0,17,3,4,3,2,2,3,1,FALSE
EMP-100899,18226.0,21,0,3,4,3,3,3,4,FALSE
EMP-100900,6275.0,18,0,3,1,2,1,3,2,No
EMP-100901,20862.0,22,1,3,1,4,2,1,2,N
EMP-100902,7356.0,19,3,3,1,2,4,3,3,No
EMP-100903,8803.0,11,2,4,2,3,4,4,2,TRUE
EMP-100904,6666.0,14,0,3,1,2,3,3,3,no
EMP-100905,20570.0,12,3,3,3,2,4,4,2,no
EMP-100906,7450.0,12,2,3,4,3,3,1,2,TRUE
EMP-100907,6737.0,11,1,3,3,2,4,2,4,Yes
